id,polarity,clean,tweet,positive
2613720093,0.318181818,new twitter is more convenient. now i don't have to wait for a new page to load. :) #newtwitter,Positive,
2646971795,0.318181818,i got the new twitter interface :) @newtwitter #newtwitter,Positive,
2639355734,0.333333333,splodz blogz: quick blog yesterday about #newtwitter... any thoughts? ,Positive,
2616724065,0.335227273,@timeawhite a new twitter experience is coming! learn more about it? #newtwitter ez van oda irva,Positive,
2697451265,0.35,#newtwitter is cool... i guess,Positive,
2683272497,0.356818182,well.. i like the new twitter! it makes all easier and more comfortable.. #newtwitter,Positive,
2647758636,0.385227273,loving the new twitter! #newtwitter,Positive,
2612240190,0.389393939,"worldly things -> i love the new twitter.  love, love, love it.  thanks inventors of the #newtwitter",Positive,
2698082015,0.4,#newtwitter has got me using it from the website again. that definitely speaks for great redesign work.,Positive,
2617670220,0.468181818,new twitter welcome screen prompt  #newtwitter,Positive,
2716689957,0.468181818,"dear @twitter.  i like #newtwitter, but it'd be great if you could highlight/bold/change the messages link when i have a new dm. #kthxbye",Positive,
2697372254,0.468181818,@chrisohara10 let's make it official happy birthday coming live from @janinetoro's new twitter lol #newtwitter,Positive,
2697067527,0.5,"sooooooo, i think i like the #oldtwitter better than the #newtwitter",Positive,
2676789780,0.568181818,my new twitter is twit awesome  #newtwitter,Positive,
2619956575,0.568181818,whenever i tweet with new twitter... i feel great! *i luv the #newtwitter,Positive,
2707520260,0.6,kind of liking #newtwitter.,Positive,
2716634840,0.6,awesome. thanks. rt @jonpierce: w/e hack: adding classic-style rts to #newtwitter via chrome ,Positive,
2717485121,0.7,"@abrasion @sarselack no reference to #newtwitter in my phone app, is there a good app that i could use on my laptop?",Positive,
2707665135,0.75,i like to the #newtwitter.  it has better functions finally.  lol!,Positive,
2697983477,-0.78125,"i don't like the #newtwitter, this version is weird!!",Negative,
2707893267,-0.75,arghhhh...esse #newtwitter ? mtooo chato! :(,Negative,
2697821842,-0.7,fuck'n #newtwitter you bad ass.!!!,Negative,
2718649841,-0.65,is there not a url shortening service built into #newtwitter? am i blind? stupid? both?,Negative,
2717383858,-0.625,shit! el #newtwitter es horrible!!,Negative,
2716533010,-0.5,not trying #newtwitter again till the #fail phase is over.,Negative,
2616580673,-0.306818182,#newtwitter kya apa to emg'e?? ga isa nyoba new twitter dr laptop~ =(,Negative,
2718115792,-0.3,i like the #newtwitter but its slow,Negative,
2697708251,-0.3,pq meu twitter t? no #newtwitter?  sucks...,Negative,
2658714519,-0.25,how to customise your background for the #newtwitter  [blog] <-- i need to get round to this!,Negative,
2673387653,-0.221212121,"i'm here on the #newtwitter. psh, i'm going back i hate new twitter",Negative,
2603135146,-0.219393939,the #newtwitter is so weird. seriously. why is there a new twitter? what was wrong with the old one? fix it now.,Negative,
2707082708,-0.2125,my eyes hurt...and #newtwitter is confusing. one day it has 'reply' and the other day it doesn't. how do i reply? how do i delete?,Negative,
2717847593,-0.2,#newtwitter - how can twitter send you traffic everyday?  -  ,Negative,
2657191913,-0.171212121,i never got the new twitter yet :( rt @bdert: how can i get my old twitter back...the option to leave #newtwitter is gone...stuck...smh,Negative,
2718141943,-0.125,i like the fact i don't have to use #newtwitter - it's actually pretty useless.,Negative,
2718684812,-0.05,simultweeting harder with #newtwitter. have to open box to tweet. #bl10,Neutral,
2708101970,0,to gostando do #newtwitter ... :d,Neutral,
2708237856,0,what is going on with this #newtwitter? i have to click tweet twice in order to make 1 tweet.,Neutral,
2697948230,0,wo0t finally got #newtwitter on my computer!,Neutral,
2706872761,0,"hmm, #newtwitter seems busted using 32-bit @opera 10.61 on linux. #sadboosh #guessillstickwithclients",Neutral,
2717480680,0,como ve dm no #newtwitter ? ><,Neutral,
2697551741,0,trying the #newtwitter,Neutral,
2697286739,0,how the hell do you retweet on #newtwitter? it will not show up. help?,Neutral,
2716487229,0,#newtwitter is for #tittytuesday.,Neutral,
2717843704,0,d0nt think i am liking the #newtwitter shyt #p00,Neutral,
2717728029,0,"if you don't like the #newtwitter, please sign this. ",Neutral,
2717139751,0,does everybody have the #newtwitter now? everybody all caught up ?,Neutral,
2707381720,0,to usando o #newtwitter  neem sei porque tbm '-'  kkkk,Neutral,
2707554195,0,i'm liking the #newtwitter if only for the fact that i no longer have to click the button to read earlier tweets ... //cont ...//,Neutral,
2708579861,0,#newtwitter motha suckas,Neutral,
2707316517,0,am i the only one who likes the #newtwitter ?,Neutral,
2717465646,0,finally #newtwitter for me!!!,Neutral,
2697213284,0,#newtwitter !!!,Neutral,
2707697552,0.05,@iambendavis #newtwitter is legit. yo are you busy next tuesday???,Neutral,
2717078769,0.05,dr insult thinks #newtwitter is a complaint from one of his patients. #iphone #app  #free #comedy #humor #doctor,Neutral,
2659751039,0.068181818,~ omg ! finally the new version of twitter... now i can die [last tweet before the brand new twitter] #newtwitter,Neutral,
2658480663,0.085227273,finally have new twitter! #yay #newtwitter,Neutral,
